food_type,base_safe_time,temperature_c,humidity_percent,time_since_cooked_min,packaging_type,sun_exposure,quantity_kg,safe_minutes_remaining
bread_items,170,38.2,36.2,129,sealed,indoor_no_ac,16.8,0.0
salad_cut_fruits,70,26.4,91.2,6,sealed,indoor_ac,14.6,0.0
samosa_kachori,135,30.9,41.1,126,sealed,indoor_ac,16.3,0.0
rice_meal,120,28.5,45.9,29,sealed,outdoor_shaded,3.8,64.7
rice_meal,120,36.3,79.9,88,sealed,outdoor_direct_sun,18.6,0.0
biryani,115,37.1,89.9,56,sealed,outdoor_shaded,5.3,10.0
bread_items,170,41.7,57.0,113,open,outdoor_direct_sun,3.9,0.0
samosa_kachori,135,24.2,88.6,32,sealed,outdoor_shaded,17.0,45.6
paneer_dish,95,30.1,84.6,84,sealed,outdoor_shaded,13.7,0.0
bread_items,170,39.5,92.3,90,semi_covered,indoor_no_ac,3.4,0.0
bakery_cake,85,32.3,43.3,22,semi_covered,outdoor_direct_sun,13.5,0.0
milk_based_dessert,55,34.0,49.1,143,sealed,outdoor_direct_sun,17.2,0.0
paneer_dish,95,33.4,67.6,139,semi_covered,outdoor_direct_sun,11.3,0.0
bakery_cake,85,39.5,76.4,83,sealed,indoor_no_ac,20.3,0.0
pizza,95,25.9,46.0,122,open,outdoor_shaded,11.4,0.0
chicken_curry,90,29.9,86.0,136,open,outdoor_shaded,11.6,0.0
salad_cut_fruits,70,29.7,84.8,82,open,indoor_ac,23.9,0.0
dairy_sweets,60,35.7,73.9,132,sealed,outdoor_shaded,3.6,0.0
curry_gravy,100,27.5,44.2,47,semi_covered,indoor_no_ac,9.4,13.5
pasta,105,25.3,91.8,72,open,outdoor_shaded,24.9,0.0
curry_gravy,100,32.0,66.5,103,semi_covered,indoor_no_ac,5.2,0.0
fried_snacks,140,30.3,64.5,107,semi_covered,outdoor_direct_sun,18.0,0.0
salad_cut_fruits,70,31.5,56.8,73,sealed,indoor_ac,12.9,0.0
fried_snacks,140,25.4,72.6,108,semi_covered,outdoor_shaded,18.0,0.0
pasta,105,34.4,57.5,35,open,indoor_no_ac,24.8,1.4
fish_curry,80,38.7,87.7,104,semi_covered,outdoor_shaded,5.6,0.0
paneer_dish,95,27.1,37.8,123,semi_covered,outdoor_shaded,12.0,0.0
curry_gravy,100,35.9,67.4,135,open,indoor_ac,8.6,0.0
dry_food_roti,180,25.9,54.5,36,sealed,outdoor_shaded,17.0,111.5
chicken_curry,90,25.9,35.1,88,sealed,indoor_ac,17.3,0.0
pasta,105,31.7,73.7,27,sealed,outdoor_shaded,21.4,32.5
paneer_dish,95,25.9,54.2,108,sealed,outdoor_direct_sun,17.1,0.0
dry_food_roti,180,39.9,83.4,58,semi_covered,outdoor_direct_sun,5.7,30.6
fish_curry,80,26.9,55.0,64,sealed,indoor_no_ac,14.1,0.0
samosa_kachori,135,29.6,50.6,119,sealed,indoor_ac,14.7,0.0
dal,110,39.6,93.7,30,semi_covered,indoor_no_ac,19.7,0.0
dairy_sweets,60,38.9,64.8,52,sealed,outdoor_shaded,21.9,0.0
bread_items,170,31.1,86.5,25,open,outdoor_direct_sun,23.9,34.1
curry_gravy,100,25.3,65.3,129,sealed,indoor_ac,7.7,0.0
samosa_kachori,135,31.6,69.3,131,open,indoor_ac,11.7,0.0
milk_based_dessert,55,33.9,40.8,41,open,indoor_ac,18.5,0.0
pasta,105,31.4,71.4,113,open,indoor_no_ac,9.5,0.0
dairy_sweets,60,36.6,84.8,18,open,indoor_no_ac,7.0,0.0
dal,110,40.2,60.4,93,semi_covered,indoor_ac,16.9,0.0
fish_curry,80,27.0,44.1,49,open,outdoor_direct_sun,15.0,0.0
fried_snacks,140,36.2,94.1,104,sealed,outdoor_direct_sun,12.0,0.0
chicken_curry,90,30.5,84.9,42,sealed,indoor_no_ac,5.5,1.0
salad_cut_fruits,70,25.0,93.5,68,sealed,outdoor_direct_sun,11.1,0.0
salad_cut_fruits,70,37.3,38.0,104,semi_covered,indoor_no_ac,18.2,0.0
bread_items,170,40.5,53.9,100,open,indoor_no_ac,6.3,0.0
curry_gravy,100,35.2,67.2,12,semi_covered,outdoor_shaded,13.7,25.4
curry_gravy,100,37.0,43.0,59,open,outdoor_direct_sun,19.7,0.0
biryani,115,41.4,36.6,134,open,indoor_ac,9.1,0.0
pizza,95,39.7,46.1,28,semi_covered,outdoor_shaded,21.6,0.0
dry_food_roti,180,29.2,63.1,27,semi_covered,outdoor_direct_sun,11.8,93.3
dal,110,38.1,36.8,6,sealed,outdoor_direct_sun,21.4,33.7
pizza,95,29.7,90.6,13,sealed,outdoor_direct_sun,11.8,13.4
bakery_cake,85,40.0,53.3,18,semi_covered,indoor_no_ac,5.5,1.7
biryani,115,39.9,42.2,128,semi_covered,outdoor_shaded,17.3,0.0
dry_food_roti,180,36.1,56.0,111,open,indoor_ac,12.3,7.9
dal,110,38.3,94.7,122,sealed,outdoor_shaded,21.2,0.0
pizza,95,32.0,81.1,91,semi_covered,indoor_ac,24.9,0.0
fried_rice,125,37.7,38.3,39,semi_covered,indoor_ac,24.2,18.1
biryani,115,39.6,38.3,141,sealed,outdoor_shaded,3.0,0.0
rice_meal,120,34.0,65.2,32,sealed,indoor_ac,9.7,50.1
pizza,95,40.4,76.1,127,open,indoor_no_ac,3.2,0.0
paneer_dish,95,29.0,70.3,122,semi_covered,indoor_ac,9.4,0.0
raw_vegetable_salad,75,38.7,76.3,108,open,indoor_no_ac,12.3,0.0
rice_meal,120,25.6,80.1,73,open,indoor_ac,13.2,0.0
curry_gravy,100,36.7,94.6,100,semi_covered,outdoor_shaded,3.1,0.0
fried_snacks,140,27.3,65.1,25,sealed,outdoor_shaded,17.1,76.7
dal,110,30.0,73.1,12,sealed,indoor_ac,12.2,63.5
salad_cut_fruits,70,28.4,43.7,100,sealed,outdoor_direct_sun,3.6,0.0
rice_meal,120,40.8,59.4,109,open,outdoor_direct_sun,13.6,0.0
dairy_sweets,60,26.4,52.4,85,sealed,indoor_no_ac,6.2,0.0
dal,110,30.1,62.3,80,semi_covered,indoor_no_ac,17.4,0.0
dry_food_roti,180,26.8,86.6,37,sealed,outdoor_direct_sun,7.0,94.3
rice_meal,120,39.5,43.4,12,sealed,outdoor_shaded,11.1,55.2
milk_based_dessert,55,37.7,78.3,62,sealed,outdoor_shaded,24.7,0.0
milk_based_dessert,55,41.6,91.9,60,semi_covered,indoor_ac,3.5,0.0
samosa_kachori,135,29.5,40.9,20,open,indoor_ac,3.1,68.6
dry_food_roti,180,39.7,60.4,63,semi_covered,indoor_no_ac,13.3,54.7
samosa_kachori,135,24.0,48.4,128,semi_covered,indoor_ac,17.4,0.0
fried_snacks,140,39.5,80.6,51,open,outdoor_direct_sun,11.3,0.0
fish_curry,80,24.7,51.5,54,sealed,outdoor_direct_sun,23.3,0.0
bread_items,170,29.8,64.4,94,semi_covered,indoor_no_ac,4.5,31.8
biryani,115,27.3,51.6,90,open,indoor_no_ac,11.5,0.0
bakery_cake,85,36.7,89.6,31,open,indoor_ac,21.9,0.0
fried_snacks,140,40.1,82.4,13,open,indoor_no_ac,10.0,16.5
chicken_curry,90,39.0,85.6,6,open,outdoor_direct_sun,10.3,4.9
noodles,110,29.8,60.1,90,semi_covered,indoor_ac,16.3,0.0
chicken_curry,90,30.2,64.8,144,semi_covered,indoor_ac,15.3,0.0
dairy_sweets,60,28.6,74.3,10,semi_covered,indoor_ac,10.8,0.0
fried_snacks,140,29.1,91.8,126,semi_covered,indoor_ac,11.8,0.0
curry_gravy,100,39.4,39.1,108,sealed,outdoor_direct_sun,24.0,0.0
chicken_curry,90,40.7,38.4,13,open,indoor_no_ac,3.9,2.3
bread_items,170,24.1,71.4,55,open,outdoor_shaded,17.4,63.2
pizza,95,31.9,38.6,95,open,outdoor_shaded,11.7,0.0
rice_meal,120,37.5,80.7,85,semi_covered,outdoor_shaded,12.8,0.0
dry_food_roti,180,39.1,89.9,44,semi_covered,indoor_no_ac,18.0,62.9
fried_snacks,140,27.2,54.2,139,semi_covered,indoor_no_ac,20.0,0.0
fish_curry,80,27.8,59.8,70,sealed,indoor_ac,19.9,0.0
rice_meal,120,24.0,76.2,139,sealed,indoor_no_ac,6.2,0.0
paneer_dish,95,29.0,93.8,140,sealed,indoor_ac,14.8,0.0
chicken_curry,90,27.5,59.7,11,open,outdoor_direct_sun,7.5,15.0
bread_items,170,29.4,76.8,145,sealed,indoor_no_ac,20.7,0.0
salad_cut_fruits,70,40.3,77.7,115,sealed,indoor_ac,11.7,0.0
chicken_curry,90,38.1,60.9,98,open,indoor_ac,19.0,0.0
salad_cut_fruits,70,33.0,61.6,67,sealed,indoor_no_ac,4.1,0.0
milk_based_dessert,55,33.9,60.7,123,sealed,indoor_ac,22.7,0.0
curry_gravy,100,36.0,69.9,137,open,outdoor_shaded,21.0,0.0
milk_based_dessert,55,37.3,60.7,60,semi_covered,outdoor_shaded,3.7,0.0
pasta,105,41.4,47.5,75,semi_covered,indoor_no_ac,18.6,0.0
milk_based_dessert,55,38.1,53.0,52,sealed,outdoor_direct_sun,21.9,0.0
samosa_kachori,135,25.4,53.8,59,semi_covered,outdoor_shaded,14.3,26.6
rice_meal,120,31.8,89.9,132,semi_covered,indoor_ac,4.3,0.0
dry_food_roti,180,25.4,43.1,117,sealed,outdoor_shaded,8.7,37.7
curry_gravy,100,28.7,57.2,20,open,indoor_ac,7.8,34.8
salad_cut_fruits,70,26.3,86.3,11,semi_covered,indoor_no_ac,5.3,8.7
dal,110,40.1,73.1,65,sealed,indoor_ac,10.2,0.0
paneer_dish,95,32.3,71.9,95,open,outdoor_direct_sun,21.2,0.0
rice_meal,120,24.7,43.0,108,open,indoor_ac,20.5,0.0
fried_rice,125,36.0,84.5,118,semi_covered,indoor_ac,9.3,0.0
paneer_dish,95,29.3,48.2,148,open,indoor_ac,18.1,0.0
milk_based_dessert,55,41.8,58.3,61,sealed,outdoor_direct_sun,11.9,0.0
pasta,105,38.5,81.2,60,open,outdoor_direct_sun,21.8,0.0
milk_based_dessert,55,28.8,87.0,9,open,indoor_ac,5.1,0.0
biryani,115,29.8,83.4,85,sealed,indoor_no_ac,8.5,0.0
fish_curry,80,27.3,45.6,65,sealed,outdoor_direct_sun,10.4,0.0
dairy_sweets,60,24.8,72.1,76,semi_covered,indoor_ac,17.5,0.0
dal,110,38.9,70.8,34,sealed,outdoor_direct_sun,4.7,11.2
chicken_curry,90,25.9,71.7,146,open,outdoor_shaded,21.0,0.0
fried_snacks,140,30.4,49.8,69,open,outdoor_direct_sun,22.1,0.0
pizza,95,37.4,49.2,94,sealed,indoor_no_ac,3.9,0.0
biryani,115,32.2,88.1,150,sealed,outdoor_shaded,16.1,0.0
milk_based_dessert,55,31.1,48.4,114,open,outdoor_shaded,4.8,0.0
dry_food_roti,180,31.1,50.5,69,semi_covered,indoor_no_ac,23.4,51.3
bakery_cake,85,36.2,46.7,56,semi_covered,outdoor_shaded,13.2,0.0
dry_food_roti,180,36.6,50.5,65,semi_covered,indoor_no_ac,12.5,59.4
salad_cut_fruits,70,37.5,68.7,61,sealed,outdoor_shaded,6.3,0.0
chicken_curry,90,27.6,68.0,96,open,indoor_no_ac,7.3,0.0
paneer_dish,95,28.9,75.0,107,semi_covered,indoor_no_ac,9.5,0.0
bread_items,170,24.7,87.1,129,open,indoor_no_ac,10.1,0.0
biryani,115,30.9,73.2,111,semi_covered,indoor_ac,7.6,0.0
curry_gravy,100,24.1,67.1,93,open,indoor_no_ac,5.0,0.0
noodles,110,27.0,68.8,86,open,outdoor_direct_sun,10.8,0.0
dairy_sweets,60,41.0,93.0,46,semi_covered,indoor_no_ac,22.1,0.0
rice_meal,120,35.2,84.6,110,semi_covered,outdoor_direct_sun,22.8,0.0
bread_items,170,25.1,91.7,110,semi_covered,outdoor_shaded,13.2,0.0
fried_snacks,140,41.3,53.4,46,open,outdoor_shaded,12.0,0.0
biryani,115,32.8,92.3,46,semi_covered,indoor_no_ac,10.0,11.1
samosa_kachori,135,41.2,39.5,23,open,indoor_ac,4.8,63.7
pizza,95,30.7,68.6,146,open,indoor_no_ac,19.0,0.0
bakery_cake,85,33.6,58.5,140,semi_covered,outdoor_shaded,12.9,0.0
chicken_curry,90,40.9,46.4,62,sealed,indoor_ac,16.4,0.0
paneer_dish,95,41.8,52.6,34,open,outdoor_shaded,5.2,0.0
pizza,95,38.6,69.1,75,sealed,indoor_no_ac,24.4,0.0
fried_snacks,140,40.4,53.2,47,semi_covered,indoor_ac,6.8,35.4
paneer_dish,95,25.0,61.7,21,semi_covered,outdoor_direct_sun,3.1,36.6
dairy_sweets,60,28.8,82.5,108,semi_covered,outdoor_shaded,23.8,0.0
dry_food_roti,180,39.2,76.8,69,sealed,outdoor_direct_sun,11.3,18.5
pasta,105,40.6,60.5,40,open,indoor_ac,21.8,0.0
pasta,105,31.4,43.6,129,semi_covered,indoor_ac,19.2,0.0
bread_items,170,27.2,84.8,74,semi_covered,outdoor_direct_sun,21.3,22.4
rice_meal,120,37.1,40.8,18,open,outdoor_direct_sun,14.7,5.9
dal,110,26.0,77.3,76,sealed,indoor_no_ac,4.6,0.9
noodles,110,36.9,40.7,139,open,outdoor_shaded,18.8,0.0
dry_food_roti,180,39.2,47.2,115,semi_covered,outdoor_shaded,16.0,4.8
dairy_sweets,60,40.6,72.2,93,sealed,indoor_ac,11.4,0.0
dairy_sweets,60,39.3,55.8,20,sealed,outdoor_direct_sun,21.7,0.0
dal,110,35.1,77.1,122,sealed,indoor_ac,18.3,0.0
fried_snacks,140,25.9,69.3,139,sealed,outdoor_direct_sun,16.6,0.0
milk_based_dessert,55,30.4,80.8,48,open,indoor_no_ac,11.2,0.0
bread_items,170,38.9,50.8,27,sealed,indoor_ac,24.9,90.3
raw_vegetable_salad,75,41.2,92.7,25,open,indoor_ac,9.9,0.0
dal,110,37.1,50.0,148,semi_covered,outdoor_direct_sun,18.8,0.0
fish_curry,80,31.8,88.4,41,open,outdoor_direct_sun,20.4,0.0
pasta,105,37.7,45.1,31,sealed,outdoor_direct_sun,9.7,6.7
curry_gravy,100,25.4,67.7,92,open,outdoor_direct_sun,7.3,0.0
bakery_cake,85,31.2,70.9,44,open,indoor_ac,19.0,0.0
fish_curry,80,39.1,75.9,81,sealed,indoor_ac,6.2,0.0
noodles,110,33.2,35.4,116,sealed,outdoor_shaded,8.8,0.0
milk_based_dessert,55,30.4,42.5,54,semi_covered,outdoor_shaded,5.2,0.0
pasta,105,29.3,44.0,75,open,outdoor_direct_sun,24.4,0.0
noodles,110,40.4,50.9,124,open,indoor_no_ac,21.9,0.0
pizza,95,38.7,36.5,21,open,outdoor_direct_sun,3.8,0.0
raw_vegetable_salad,75,38.5,79.4,62,semi_covered,outdoor_shaded,18.9,0.0
bread_items,170,39.4,79.8,45,sealed,indoor_no_ac,23.2,59.7
salad_cut_fruits,70,29.9,69.9,138,open,outdoor_shaded,17.3,0.0
fish_curry,80,26.2,79.8,52,sealed,indoor_no_ac,3.2,0.0
raw_vegetable_salad,75,40.7,50.4,98,semi_covered,outdoor_shaded,24.6,0.0
fish_curry,80,32.1,72.3,87,open,outdoor_shaded,11.7,0.0
milk_based_dessert,55,35.7,68.0,96,open,indoor_no_ac,13.6,0.0
bread_items,170,34.4,45.0,88,semi_covered,outdoor_direct_sun,15.8,19.9
chicken_curry,90,30.3,57.5,132,open,indoor_ac,24.7,0.0
bakery_cake,85,34.4,52.1,83,semi_covered,indoor_ac,4.1,0.0
curry_gravy,100,29.3,37.1,88,semi_covered,outdoor_direct_sun,4.8,0.0
milk_based_dessert,55,31.9,69.1,82,open,outdoor_shaded,24.5,0.0
samosa_kachori,135,39.0,55.4,97,semi_covered,indoor_no_ac,19.9,0.0
chicken_curry,90,24.2,37.7,120,sealed,indoor_ac,13.3,0.0
bakery_cake,85,26.6,63.7,113,open,outdoor_shaded,21.3,0.0
dry_food_roti,180,37.4,86.8,145,open,indoor_no_ac,17.8,0.0
paneer_dish,95,39.0,82.5,84,sealed,indoor_ac,21.3,0.0
biryani,115,30.7,86.4,89,open,indoor_no_ac,20.9,0.0
chicken_curry,90,25.5,55.7,113,semi_covered,outdoor_direct_sun,7.2,0.0
bread_items,170,29.0,60.6,16,semi_covered,outdoor_shaded,4.8,107.4
bread_items,170,30.5,84.7,138,open,outdoor_direct_sun,21.9,0.0
fish_curry,80,31.8,38.3,125,sealed,indoor_ac,9.7,0.0
raw_vegetable_salad,75,38.8,73.1,47,open,outdoor_shaded,24.0,0.0
pasta,105,29.6,43.7,96,sealed,outdoor_direct_sun,9.3,0.0
dal,110,40.6,88.7,145,semi_covered,outdoor_shaded,3.4,0.0
dry_food_roti,180,35.2,86.2,17,sealed,outdoor_direct_sun,11.6,83.0
pizza,95,41.3,72.8,141,sealed,indoor_no_ac,3.2,0.0
curry_gravy,100,31.9,79.6,94,open,outdoor_direct_sun,24.5,0.0
fried_rice,125,36.5,61.6,115,semi_covered,indoor_no_ac,21.7,0.0
fried_snacks,140,41.3,74.8,134,semi_covered,outdoor_direct_sun,20.9,0.0
dairy_sweets,60,28.2,54.4,116,open,outdoor_direct_sun,20.8,0.0
pizza,95,35.5,50.8,59,open,outdoor_shaded,14.3,0.0
samosa_kachori,135,35.3,66.7,78,open,indoor_no_ac,12.1,0.0
fish_curry,80,38.0,49.2,149,open,indoor_no_ac,22.4,0.0
pasta,105,30.8,43.5,140,semi_covered,indoor_no_ac,13.2,0.0
milk_based_dessert,55,28.9,52.9,18,sealed,indoor_no_ac,10.4,9.7
fried_snacks,140,41.2,74.0,117,semi_covered,indoor_no_ac,21.7,0.0
paneer_dish,95,29.4,73.8,144,sealed,outdoor_direct_sun,14.0,0.0
dal,110,39.1,36.4,125,open,outdoor_direct_sun,13.3,0.0
samosa_kachori,135,25.1,44.5,8,sealed,outdoor_direct_sun,8.8,103.8
paneer_dish,95,29.9,74.6,84,sealed,outdoor_direct_sun,20.2,0.0
bread_items,170,30.2,42.8,54,sealed,indoor_no_ac,14.8,91.9
curry_gravy,100,33.9,51.1,38,sealed,outdoor_shaded,6.4,29.1
salad_cut_fruits,70,41.7,84.7,64,open,indoor_ac,9.6,0.0
rice_meal,120,35.1,49.7,107,sealed,indoor_no_ac,24.6,0.0
bakery_cake,85,41.9,53.3,5,semi_covered,outdoor_direct_sun,16.5,0.0
raw_vegetable_salad,75,24.1,68.8,68,open,indoor_ac,11.6,0.0
paneer_dish,95,37.8,41.0,136,open,indoor_no_ac,7.8,0.0
milk_based_dessert,55,36.1,47.9,95,open,indoor_no_ac,16.9,0.0
milk_based_dessert,55,24.1,47.4,39,semi_covered,indoor_no_ac,15.3,0.0
raw_vegetable_salad,75,27.1,57.3,67,sealed,outdoor_shaded,18.1,0.0
dry_food_roti,180,24.3,69.8,142,semi_covered,outdoor_shaded,19.3,0.0
dal,110,40.1,71.9,89,semi_covered,outdoor_direct_sun,21.1,0.0
chicken_curry,90,24.0,77.5,41,semi_covered,indoor_no_ac,3.6,0.0
paneer_dish,95,39.4,69.1,104,semi_covered,indoor_ac,18.6,0.0
dairy_sweets,60,35.8,39.9,88,semi_covered,indoor_no_ac,16.5,0.0
pizza,95,35.5,78.0,42,semi_covered,outdoor_shaded,18.2,0.0
fried_snacks,140,31.2,87.7,102,sealed,outdoor_shaded,18.6,0.0
dry_food_roti,180,38.0,56.3,28,sealed,outdoor_shaded,13.9,89.2
noodles,110,28.7,46.7,102,open,outdoor_direct_sun,16.9,0.0
fried_snacks,140,32.9,92.5,144,open,indoor_no_ac,17.9,0.0
raw_vegetable_salad,75,39.8,77.5,94,sealed,outdoor_direct_sun,13.3,0.0
milk_based_dessert,55,34.2,80.6,127,sealed,outdoor_shaded,7.1,0.0
fried_snacks,140,32.9,59.8,36,sealed,outdoor_direct_sun,16.9,45.2
bread_items,170,41.6,37.4,110,open,indoor_no_ac,14.7,0.0
pizza,95,39.6,55.7,6,semi_covered,indoor_no_ac,6.6,29.1
bakery_cake,85,35.1,59.4,19,semi_covered,indoor_ac,4.1,3.5
paneer_dish,95,31.8,49.3,59,open,outdoor_direct_sun,4.7,0.0
noodles,110,26.2,35.2,49,sealed,outdoor_shaded,22.1,19.9
milk_based_dessert,55,36.0,40.2,143,sealed,indoor_ac,11.5,0.0
pizza,95,27.7,61.8,134,semi_covered,outdoor_direct_sun,19.8,0.0
bakery_cake,85,26.5,88.1,17,sealed,indoor_no_ac,5.6,16.7
salad_cut_fruits,70,32.1,64.8,125,open,indoor_ac,23.7,0.0
fried_snacks,140,35.9,42.7,102,semi_covered,indoor_ac,3.2,0.2
rice_meal,120,28.5,85.9,85,open,outdoor_direct_sun,11.3,0.0
dairy_sweets,60,39.3,90.6,72,open,outdoor_direct_sun,15.2,0.0
rice_meal,120,29.3,55.6,121,open,indoor_ac,5.8,0.0
samosa_kachori,135,28.2,49.7,74,sealed,outdoor_direct_sun,10.6,22.1
salad_cut_fruits,70,34.1,46.9,115,sealed,outdoor_shaded,16.6,0.0
dry_food_roti,180,35.8,61.8,98,semi_covered,indoor_ac,20.2,10.6
pizza,95,29.4,44.0,36,semi_covered,outdoor_direct_sun,16.8,0.0
samosa_kachori,135,37.5,75.7,96,semi_covered,indoor_ac,6.0,0.0
pizza,95,31.1,70.4,9,sealed,indoor_no_ac,19.8,24.8
fried_rice,125,31.4,70.9,22,semi_covered,indoor_no_ac,12.8,56.8
curry_gravy,100,26.9,88.9,37,semi_covered,indoor_ac,24.1,8.6
milk_based_dessert,55,41.4,48.6,11,open,indoor_ac,19.8,0.0
milk_based_dessert,55,41.1,89.3,118,open,outdoor_shaded,14.0,0.0
pizza,95,26.1,43.6,100,semi_covered,outdoor_direct_sun,20.1,0.0
milk_based_dessert,55,29.0,90.8,112,open,indoor_ac,24.4,0.0
raw_vegetable_salad,75,31.9,42.1,84,open,indoor_no_ac,23.5,0.0
pasta,105,27.9,88.6,102,semi_covered,outdoor_shaded,16.5,0.0
milk_based_dessert,55,28.0,41.1,82,open,outdoor_shaded,20.2,0.0
fish_curry,80,24.2,70.7,19,semi_covered,outdoor_shaded,15.4,0.0
pizza,95,24.8,79.8,10,sealed,outdoor_direct_sun,7.2,28.9
chicken_curry,90,39.3,38.3,54,semi_covered,outdoor_shaded,4.7,0.0
bakery_cake,85,29.4,72.6,109,sealed,indoor_ac,23.9,0.0
samosa_kachori,135,30.8,75.9,54,open,indoor_ac,15.4,5.8
pizza,95,41.4,64.4,106,open,indoor_ac,6.9,0.0
bread_items,170,24.7,40.5,41,open,indoor_ac,15.2,84.0
fried_snacks,140,39.9,89.0,124,open,indoor_no_ac,7.0,0.0
bread_items,170,32.2,71.2,62,open,outdoor_direct_sun,19.8,23.2
raw_vegetable_salad,75,37.5,61.5,91,semi_covered,outdoor_shaded,24.4,0.0
dal,110,35.6,81.1,74,open,indoor_no_ac,13.0,0.0
salad_cut_fruits,70,40.7,94.4,11,open,indoor_ac,6.8,0.0
bakery_cake,85,35.7,92.0,15,semi_covered,indoor_no_ac,13.1,0.0
dairy_sweets,60,29.2,69.8,138,semi_covered,outdoor_direct_sun,5.2,0.0
curry_gravy,100,27.5,82.5,17,open,outdoor_shaded,15.0,6.1
chicken_curry,90,40.1,64.4,99,sealed,outdoor_direct_sun,11.3,0.0
bakery_cake,85,41.4,71.0,102,open,indoor_ac,17.9,0.0
rice_meal,120,30.9,61.8,125,open,indoor_ac,3.5,0.0
bakery_cake,85,30.0,83.9,69,semi_covered,outdoor_shaded,23.0,0.0
raw_vegetable_salad,75,40.1,85.5,30,sealed,outdoor_shaded,11.1,0.0
biryani,115,39.1,71.0,52,open,outdoor_direct_sun,24.3,0.0
pasta,105,35.0,93.6,76,semi_covered,indoor_no_ac,11.4,0.0
fried_rice,125,25.0,55.2,58,open,outdoor_shaded,6.0,13.2
fried_snacks,140,33.3,64.5,25,semi_covered,outdoor_shaded,10.3,45.7
milk_based_dessert,55,37.1,71.0,79,sealed,indoor_ac,12.2,0.0
dairy_sweets,60,38.5,62.0,33,semi_covered,outdoor_shaded,6.7,0.0
salad_cut_fruits,70,37.6,83.1,139,semi_covered,indoor_ac,16.3,0.0
dairy_sweets,60,39.4,46.8,47,semi_covered,indoor_no_ac,7.3,0.0
salad_cut_fruits,70,37.4,74.2,69,semi_covered,outdoor_direct_sun,10.8,0.0
fried_snacks,140,39.3,87.2,9,open,outdoor_direct_sun,11.0,21.9
pizza,95,27.3,70.1,92,open,indoor_ac,17.0,0.0
paneer_dish,95,27.5,61.0,52,semi_covered,outdoor_shaded,9.1,0.0
pasta,105,32.1,85.0,66,open,outdoor_shaded,5.5,0.0
bakery_cake,85,40.4,49.6,106,open,outdoor_direct_sun,3.5,0.0
fish_curry,80,33.0,85.1,71,sealed,indoor_no_ac,11.6,0.0
bread_items,170,37.0,41.4,102,open,outdoor_direct_sun,9.4,0.0
fish_curry,80,35.4,74.9,80,semi_covered,indoor_ac,20.6,0.0
pasta,105,28.7,62.3,141,semi_covered,outdoor_direct_sun,4.8,0.0
rice_meal,120,31.6,73.7,110,semi_covered,outdoor_shaded,12.8,0.0
bread_items,170,27.2,36.9,94,semi_covered,indoor_no_ac,13.1,40.5
raw_vegetable_salad,75,31.6,36.1,47,open,indoor_no_ac,24.2,0.0
salad_cut_fruits,70,34.2,61.0,73,sealed,outdoor_direct_sun,18.6,0.0
curry_gravy,100,27.4,85.5,39,semi_covered,outdoor_direct_sun,8.7,0.0
rice_meal,120,29.7,69.0,107,sealed,indoor_no_ac,7.2,0.0
bakery_cake,85,35.2,56.3,26,open,outdoor_direct_sun,4.8,0.0
pasta,105,32.7,51.5,17,open,outdoor_shaded,6.2,22.5
milk_based_dessert,55,28.6,45.8,150,sealed,outdoor_direct_sun,17.1,0.0
fried_snacks,140,28.9,45.1,29,semi_covered,outdoor_shaded,12.9,72.7
curry_gravy,100,24.1,91.6,86,open,outdoor_direct_sun,20.6,0.0
noodles,110,37.0,69.2,109,open,outdoor_direct_sun,17.2,0.0
bread_items,170,38.4,60.9,102,open,outdoor_shaded,7.1,4.2
fish_curry,80,26.4,74.1,55,semi_covered,outdoor_shaded,22.8,0.0
dairy_sweets,60,40.6,46.6,106,sealed,outdoor_shaded,19.7,0.0
milk_based_dessert,55,34.5,60.3,67,sealed,outdoor_shaded,5.7,0.0
chicken_curry,90,36.1,41.7,75,open,indoor_no_ac,10.8,0.0
fried_snacks,140,30.7,93.9,123,semi_covered,indoor_ac,17.3,0.0
pizza,95,31.7,83.5,45,sealed,outdoor_direct_sun,9.1,0.0
bakery_cake,85,29.9,56.5,75,sealed,outdoor_shaded,15.3,0.0
salad_cut_fruits,70,30.8,62.2,38,semi_covered,outdoor_direct_sun,20.7,0.0
curry_gravy,100,32.2,72.4,69,semi_covered,indoor_no_ac,13.6,0.0
salad_cut_fruits,70,28.1,85.2,86,semi_covered,indoor_no_ac,3.8,0.0
bread_items,170,41.0,39.8,39,sealed,indoor_no_ac,19.2,67.6
dry_food_roti,180,39.7,76.3,72,semi_covered,outdoor_shaded,9.1,35.2
samosa_kachori,135,25.4,52.8,30,open,indoor_ac,6.1,65.0
milk_based_dessert,55,24.0,69.1,88,sealed,outdoor_direct_sun,10.3,0.0
raw_vegetable_salad,75,41.7,46.5,109,sealed,indoor_no_ac,24.9,0.0
dairy_sweets,60,28.7,42.8,88,semi_covered,indoor_ac,17.2,0.0
curry_gravy,100,40.3,55.5,125,open,outdoor_direct_sun,22.7,0.0
dairy_sweets,60,40.7,70.0,6,sealed,outdoor_direct_sun,22.1,0.0
fish_curry,80,25.4,68.8,81,sealed,indoor_ac,4.9,0.0
bread_items,170,24.9,41.6,75,sealed,indoor_no_ac,3.1,87.8
dry_food_roti,180,38.1,56.3,42,sealed,outdoor_direct_sun,23.0,81.7
